veh_id,time_s,cx,cy,lane_id
4,0.0,157.93959045410156,322.85585021972656,W_through
5,0.0,680.5494079589844,254.30686950683594,E_left_turn
6,0.0,754.6764221191406,185.34613800048828,E_through
8,0.0,726.6227416992188,260.5469665527344,E_left_turn
9,0.0,35.020179748535156,337.3188781738281,W_through
10,0.0,769.5665283203125,258.4732971191406,E_left_turn
11,0.0,169.78949737548828,262.5660934448242,W_left_turn
12,0.0,107.95818328857422,333.76771545410156,W_through
13,0.0,46.76866149902344,360.2148742675781,W_right_turn
14,0.0,45.0318603515625,288.31591796875,W_through
16,0.0,236.96493530273438,262.03173065185547,W_left_turn
17,0.0,160.7318878173828,240.29793548583984,W_left_turn
18,0.0,790.6035461425781,211.2355194091797,E_through
20,0.0,213.6234588623047,326.364990234375,W_through
21,0.0,817.2194519042969,257.6789245605469,E_left_turn
22,0.0,782.1920166015625,157.24717712402344,E_through
23,0.0,95.3314323425293,310.80897521972656,W_through
25,0.0,734.9054260253906,208.9163818359375,E_through
4,0.016666666666666666,157.9563980102539,322.9468994140625,W_through
5,0.016666666666666666,680.5028076171875,254.35584259033203,E_left_turn
6,0.016666666666666666,754.6128234863281,185.29953002929688,E_through
8,0.016666666666666666,726.6517639160156,260.51646423339844,E_left_turn
9,0.016666666666666666,35.00018787384033,337.2860107421875,W_through
10,0.016666666666666666,769.5722961425781,258.384765625,E_left_turn
11,0.016666666666666666,169.7936248779297,262.56595611572266,W_left_turn
12,0.016666666666666666,107.93877410888672,333.78550720214844,W_through
13,0.016666666666666666,46.761016845703125,360.2067565917969,W_right_turn
14,0.016666666666666666,44.96993923187256,288.2049255371094,W_through
16,0.016666666666666666,236.88184356689453,262.05029296875,W_left_turn
17,0.016666666666666666,160.82038116455078,240.10986328125,W_left_turn
18,0.016666666666666666,790.5937194824219,211.2035675048828,E_through
20,0.016666666666666666,213.70223999023438,326.39479064941406,W_through
21,0.016666666666666666,817.2214050292969,257.6639633178711,E_left_turn
22,0.016666666666666666,782.1649780273438,157.3263168334961,E_through
23,0.016666666666666666,95.33581924438477,310.81947326660156,W_through
25,0.016666666666666666,734.7007446289062,208.57581329345703,E_through
4,0.03333333333333333,157.9605484008789,322.9611053466797,W_through
5,0.03333333333333333,680.4947509765625,254.36529541015625,E_left_turn
6,0.03333333333333333,754.6032409667969,185.29122161865234,E_through
8,0.03333333333333333,726.6579895019531,260.5118408203125,E_left_turn
9,0.03333333333333333,34.99871826171875,337.3336181640625,W_through
10,0.03333333333333333,769.5747680664062,258.37000274658203,E_left_turn
11,0.03333333333333333,169.7951202392578,262.5654983520508,W_left_turn
12,0.03333333333333333,107.93817901611328,333.7896423339844,W_through
13,0.03333333333333333,46.693116188049316,360.20277404785156,W_right_turn
14,0.03333333333333333,44.956297874450684,288.1882781982422,W_through
16,0.03333333333333333,236.86730194091797,262.0550308227539,W_left_turn
17,0.03333333333333333,160.8356170654297,240.0789794921875,W_left_turn
18,0.03333333333333333,790.593017578125,211.1984100341797,E_through
20,0.03333333333333333,213.71668243408203,326.3994598388672,W_through
21,0.03333333333333333,817.2230529785156,257.6608123779297,E_left_turn
22,0.03333333333333333,782.1608276367188,157.33910369873047,E_through
23,0.03333333333333333,95.33778381347656,310.82176208496094,W_through
25,0.03333333333333333,734.6653442382812,208.52232360839844,E_through
4,0.05,157.94131469726562,322.88232421875,W_through
5,0.05,680.4293823242188,254.27884674072266,E_left_turn
6,0.05,754.6412048339844,185.247314453125,E_through
8,0.05,726.6004943847656,260.1664733886719,E_left_turn
9,0.05,34.99248695373535,337.32664489746094,W_through
10,0.05,769.57568359375,258.3649673461914,E_left_turn
11,0.05,169.7662353515625,262.5165481567383,W_left_turn
12,0.05,107.92662811279297,333.7277069091797,W_through
13,0.05,46.6428165435791,360.220703125,W_right_turn
14,0.05,45.03491687774658,288.1109313964844,W_through
16,0.05,236.80296325683594,262.2107467651367,W_left_turn
17,0.05,160.89988708496094,239.9939193725586,W_left_turn
18,0.05,790.5739440917969,211.1586456298828,E_through
20,0.05,213.83143615722656,326.41094970703125,W_through
21,0.05,817.2142639160156,257.6430130004883,E_left_turn
22,0.05,782.1755981445312,157.35860443115234,E_through
23,0.05,95.4008903503418,310.64549255371094,W_through
25,0.05,734.8373718261719,208.68045806884766,E_through
4,0.06666666666666667,157.92232513427734,322.79779052734375,W_through
5,0.06666666666666667,680.4268798828125,254.23336029052734,E_left_turn
6,0.06666666666666667,754.6471252441406,185.21627044677734,E_through
8,0.06666666666666667,726.6546936035156,260.35768127441406,E_left_turn
9,0.06666666666666667,35.03076648712158,337.3073425292969,W_through
10,0.06666666666666667,769.6920776367188,258.32173919677734,E_left_turn
11,0.06666666666666667,169.74757385253906,262.52427673339844,W_left_turn
12,0.06666666666666667,107.93769073486328,333.70945739746094,W_through
13,0.06666666666666667,46.62629413604736,360.2103729248047,W_right_turn
14,0.06666666666666667,45.06086540222168,288.0786895751953,W_through
16,0.06666666666666667,236.84331512451172,262.26806640625,W_left_turn
17,0.06666666666666667,160.8984603881836,239.98267364501953,W_left_turn
18,0.06666666666666667,790.5638122558594,211.17694854736328,E_through
20,0.06666666666666667,213.81961822509766,326.4121398925781,W_through
21,0.06666666666666667,817.1646118164062,257.7753448486328,E_left_turn
22,0.06666666666666667,782.1788330078125,157.37014770507812,E_through
23,0.06666666666666667,95.43289947509766,310.60829162597656,W_through
25,0.06666666666666667,734.9125366210938,208.64093780517578,E_through
4,0.08333333333333333,157.83667755126953,322.89703369140625,W_through
