Strategy,Total Delay (veh-s),Spatial RMSE (Fidelity),Throughput (veh),CO2 Emissions (g),Safety Conflicts
Fixed-Time,230.33333,3.9839062052158636,221.0,1090.974456010351,20.666666666666668
Delay-Only RL,258.66666,4.045179254938196,216.0,1119.6537169304645,18.666666666666668
Digital-Twin RL,237.66667,4.042729607937734,217.66666666666666,1093.78944165571,24.333333333333332
