vehicle_id,vehicle_color,vehicle_type,start_time,start_lane,end_time,end_lane,start_edge,end_edge
171,black,car,0:48,W_2,0:50,EE_2,W,EE
172,white,car,0:49,W_2,0:50,EE_2,W,EE
173,black,car,0:49,W_2,0:51,EE_2,W,EE
174,blue,car,0:50,W_2,0:52,EE_2,W,EE
175,black,car,0:51,W_2,0:53,EE_2,W,EE
176,silver,car,0:52,W_2,0:54,EE_2,W,EE
177,white,car,0:54,W_2,0:55,EE_2,W,EE
178,white,van,0:55,W_2,0:57,EE_2,W,EE
179,white,van,0:21,N_1,0:22,WW_1,N,WW
180,white ,car,0:28,N_1,0:29,WW_1,N,WW
181,dark maroon,car,0:32,N_1,0:33,WW_1,N,WW
182,red,car,0:34,N_1,0:35,WW_1,N,WW
183,black,car,0:36,N_1,0:37,WW_1,N,WW
184,dark blue,car,0:41,N_1,0:42,WW_1,N,WW
185,white,van,0:43,N_1,1:00,WW_1,N,WW
186,white,car,0:43,N_1,1:00,WW_1,N,WW
187,zinc,car,0:43,N_1,1:00,WW_1,N,WW
188,white,car,0:22,E_1,0:23,NN_1,E,NN
189,silver,car,0:23,E_1,0:24,NN_1,E,NN
190,black,car,0:41,E_1,0:42,NN_1,E,NN
191,white,car,0:45,E_1,0:46,NN_1,E,NN
192,slate grey,car,0:46,E_1,0:47,NN_1,E,NN
193,light voilet,truck,0:48,E_1,0:49,NN_1,E,NN
194,slate grey,car,0:48,E_1,0:50,NN_1,E,NN
195,dark blue,car,0:49,E_1,0:50,NN_1,E,NN
196,white,car,0:51,E_1,0:52,NN_1,E,NN
197,light blue,car,0:52,E_1,0:53,NN_1,E,NN
198,silver,truck,0:53,E_1,0:54,NN_1,E,NN
199,black,car,0:55,E_1,0:56,NN_1,E,NN
200,white,van,0:55,E_1,0:56,NN_1,E,NN
201,white,van,0:56,E_1,0:57,NN_1,E,NN
202,white,car,0:57,E_1,0:58,NN_1,E,NN
203,black,car,0:58,E_1,0:59,NN_1,E,NN
204,black,car,0:58,E_1,0:59,NN_1,E,NN
205,grey,car,0:59,E_1,1:00,NN_1,E,NN
206,cool grey,car,0:59,E_1,1:00,NN_1,E,NN
207,white,car,0:12,S_1,0:28,EE_2,S,EE
208,white,car,0:28,S_1,0:29,EE_2,S,EE
209,white,car,0:30,S_1,0:31,EE_2,S,EE
210,red,truck,0:32,S_1,0:34,EE_2,S,EE
211,red,car,0:36,S_1,0:37,EE_2,S,EE
212,light blue,truck,0:38,S_1,0:39,EE_2,S,EE
213,dark blue,truck,0:42,S_1,1:00,EE_1,S,EE
214,white,car,0:43,S_1,1:00,EE_1,S,EE
215,white,car,0:23,N_6,0:24,EE_4,N,EE
216,white,car,0:20,N_5,0:22,EE_2,N,EE
217,dark blue,car,0:21,N_5,0:23,EE_2,N,EE
218,light grey,car,0:24,N_5,0:26,EE_3,N,EE
219,light grey,car,0:25,N_5,0:27,EE_3,N,EE
220,white,car,0:21,N_2,0:23,SS_2,N,SS
221,white,truck,0:22,N_2,0:24,SS_2,N,SS
222,red,car,0:24,N_2,0:25,SS_2,N,SS
223,light grey,car,0:26,N_2,0:27,SS_2,N,SS
224,white,truck,0:30,N_2,1:00,SS_2,N,SS
225,white,car,0:22,N_3,0:23,SS_3,N,SS
226,white,truck,0:23,N_3,0:24,SS_4,N,SS
227,grey,truck,0:24,N_3,0:25,SS_3,N,SS
228,grey ,car,0:30,N_3,1:00,SS_3,N,SS
229,silver,car,0:23,N_4,0:24,SS_4,N,SS
230,white,truck,0:25,N_3,0:26,SS_4,N,SS
231,white,truck,0:26,N_4,0:27,SS_4,N,SS
232,grey,car,0:31,N_4,1:00,SS_4,N,SS
233,white,truck,0:06,S_2,1:00,NN_2,S,NN
234,white,car,0:06,S_3,1:00,NN_3,S,NN
235,drak grey,car,0:06,S_4,1:00,NN_4,S,NN
236,white,car,0:06,S_5,1:00,WW_2,S,WW
237,grey,car,0:06,S_6,1:00,WW_3,S,WW
238,white,car,0:34,E_6,0:36,SS_4,E,SS
239,silver,car,0:35,E_6,0:37,SS_4,E,SS
240,black,car,0:37,E_6,0:38,SS_4,E,SS
241,white,car,0:38,E_6,0:40,SS_4,E,SS
242,red,car,0:55,E_6,1:00,SS_4,E,SS
243,dark voilet,car,0:34,E_5,0:37,SS_2,E,SS
244,silver,car,0:35,E_5,0:36,SS_3,E,SS
245,black,car,0:36,E_5,0:37,SS_3,E,SS
246,white,car,0:36,E_5,0:38,SS_3,E,SS
247,black,car,0:37,E_5,0:38,SS_2,E,SS
248,black,car,0:39,E_5,1:00,SS_3,E,SS
249,black,car,0:47,E_4,0:49,WW_3,E,WW
250,black,car,0:48,E_4,0:50,WW_3,E,WW
251,white,car,0:49,E_4,0:51,WW_3,E,WW
252,green,jeep,0:52,E_4,0:53,WW_3,E,WW
253,silver green,truck,0:53,E_4,0:54,WW_3,E,WW
254,grey,car,0:54,E_4,0:55,WW_3,E,WW
255,dark red,car,0:55,E_4,0:56,WW_3,E,WW
256,silver,car,0:56,E_4,0:57,WW_3,E,WW
257,white,car,0:57,E_4,0:58,WW_3,E,WW
258,dark red,car,0:58,E_4,0:59,WW_3,E,WW
259,yellow,truck,0:59,E_4,1:00,WW_3,E,WW
260,red,car,0:47,E_3,0:48,WW_2,E,WW
261,light blue,car,0:48,E_3,0:50,WW_2,E,WW
262,grey,car,0:49,E_3,0:51,WW_2,E,WW
263,white,car,0:51,E_3,0:53,WW_2,E,WW
264,white,van,0:52,E_3,0:53,WW_2,E,WW
265,black,car,0:53,E_3,0:55,WW_2,E,WW
266,slate blue,car,0:55,E_3,0:56,WW_2,E,WW
267,white,truck,0:56,E_3,0:57,WW_2,E,WW
268,black,truck,0:57,E_3,0:59,WW_2,E,WW
269,maroon,car,0:59,E_3,1:00,WW_2,E,WW
270,white,van,0:46,E_2,0:47,WW_1,E,WW
271,light violet,car,0:47,E_2,0:48,WW_1,E,WW
272,white,car,0:48,E_2,0:49,WW_1,E,WW
273,white ,car,0:49,E_2,0:50,WW_1,E,WW
274,maroon,car,0:50,E_2,0:51,WW_1,E,WW
275,blue,car,0:53,E_2,0:55,WW_1,E,WW
276,silver,car,0:54,E_2,0:56,WW_1,E,WW
277,silver,car,0:57,E_2,0:59,WW_1,E,WW
278,white,car,0:59,E_2,1:00,WW_1,E,WW
